,sku,title,quantity,total_price,base_price,order_code,state,status,pickup_point_id,city,delivery_mode,creation_date,is_kaspi_delivery,courier_transmission_date,express,firstMileCourier,order_delivery_cost_for_seller,delivery_cost,delivery_address_city,Delivery_type,Date
0,,,1,8999,8999,263119581,ARCHIVE,CANCELLED,17186215_PP1,,DELIVERY_LOCAL,1685983731457,False,,,,0,0,Астана,Pickup,2023-06-05
1,,,1,8999,8999,263115918,ARCHIVE,CANCELLED,17186215_PP1,,DELIVERY_LOCAL,1685982710064,False,,,,0,0,Астана,Pickup,2023-06-05
20,,,1,8999,8999,263129221,ARCHIVE,CANCELLED,17186215_PP1,,DELIVERY_LOCAL,1685987315092,False,,,,0,0,Астана,Pickup,2023-06-05
19,,,1,9869,9869,263126406,ARCHIVE,COMPLETED,17186215_PP1,,DELIVERY_LOCAL,1685986209760,False,,,,0,0,Астана,Pickup,2023-06-05
17,,,1,8999,8999,263112361,ARCHIVE,COMPLETED,17186215_PP1,,DELIVERY_LOCAL,1685980624655,False,,,,0,0,Астана,Pickup,2023-06-05
2,,,1,11599,11599,263208961,ARCHIVE,CANCELLED,17186215_PP1,,DELIVERY_LOCAL,1686035383148,False,,,,0,0,Астана,Pickup,2023-06-06
3,,,1,11599,11599,263213304,ARCHIVE,CANCELLED,17186215_PP1,,DELIVERY_PICKUP,1686036037266,False,,,,0,0,,Pickup,2023-06-06
4,,,1,13469,13469,263296213,ARCHIVE,CANCELLED,17186215_PP1,,DELIVERY_LOCAL,1686059518875,False,,,,0,0,Астана,Pickup,2023-06-06
7,,,1,27000,27000,263267363,ARCHIVE,CANCELLED,17186215_PP1,Астана,DELIVERY_REGIONAL_TODOOR,1686049769628,True,,False,Zammler,1679,0,Кокшетау,Zammler,2023-06-06
22,,,1,12000,12000,263202926,ARCHIVE,CANCELLED,17186215_PP1,,DELIVERY_PICKUP,1686033206416,False,,,,0,0,,Pickup,2023-06-06
28,,,1,12869,12869,263460857,ARCHIVE,CANCELLED,17186215_PP1,,DELIVERY_LOCAL,1686132234387,False,,,,0,0,Астана,Pickup,2023-06-07
26,,,1,13489,13489,263508005,ARCHIVE,COMPLETED,17186215_PP1,,DELIVERY_LOCAL,1686145855973,False,,,,0,0,Астана,Pickup,2023-06-07
21,,,1,13489,13489,263508214,ARCHIVE,COMPLETED,17186215_PP1,,DELIVERY_LOCAL,1686146154774,False,,,,0,0,Астана,Pickup,2023-06-07
16,,,1,13489,13489,263518102,ARCHIVE,COMPLETED,17186215_PP1,,DELIVERY_LOCAL,1686149036801,False,,,,0,0,Астана,Pickup,2023-06-07
15,,,1,13489,13489,263527129,ARCHIVE,COMPLETED,17186215_PP1,,DELIVERY_LOCAL,1686152136037,False,,,,0,0,Астана,Pickup,2023-06-07
18,,,1,12869,12869,263459357,ARCHIVE,COMPLETED,17186215_PP1,,DELIVERY_LOCAL,1686130750809,False,,,,0,0,Астана,Pickup,2023-06-07
13,,,1,13489,13489,263543313,ARCHIVE,CANCELLED,17186215_PP1,,DELIVERY_LOCAL,1686158413677,False,,,,0,0,Астана,Pickup,2023-06-07
5,,,1,12869,12869,263462737,ARCHIVE,CANCELLED,17186215_PP1,,DELIVERY_LOCAL,1686132193434,False,,,,0,0,Астана,Pickup,2023-06-07
14,,,1,14489,14489,263545917,ARCHIVE,COMPLETED,17186215_PP1,,DELIVERY_LOCAL,1686160648354,False,,,,0,0,Астана,Pickup,2023-06-07
8,,,1,13489,13489,263543733,ARCHIVE,CANCELLED,17186215_PP1,,DELIVERY_LOCAL,1686159036745,False,,,,0,0,Астана,Pickup,2023-06-07
9,,,1,12869,12869,263496303,ARCHIVE,COMPLETED,17186215_PP1,,DELIVERY_LOCAL,1686142081164,False,,,,0,0,Астана,Pickup,2023-06-07
6,,,1,12869,12869,263477080,ARCHIVE,CANCELLED,17186215_PP1,Астана,DELIVERY_REGIONAL_TODOOR,1686135862902,True,,False,,0,0,Кокшетау,Zammler,2023-06-07
11,,,1,13489,13489,263541196,ARCHIVE,CANCELLED,17186215_PP1,,DELIVERY_LOCAL,1686158021787,False,,,,0,0,Астана,Pickup,2023-06-07
12,,,2,25738,12869,263442041,ARCHIVE,COMPLETED,17186215_PP1,,DELIVERY_LOCAL,1686126428500,False,,,,0,0,Астана,Pickup,2023-06-07
10,,,1,13489,13489,263539700,ARCHIVE,CANCELLED,17186215_PP1,,DELIVERY_LOCAL,1686157469960,False,,,,0,0,Астана,Pickup,2023-06-07
23,,,1,13999,13999,263908846,ARCHIVE,COMPLETED,17186215_PP1,,DELIVERY_LOCAL,1686314310617,False,,,,0,0,Астана,Pickup,2023-06-09
25,,,1,13999,13999,263862590,ARCHIVE,COMPLETED,17186215_PP1,,DELIVERY_LOCAL,1686300761953,False,,,,0,0,Астана,Pickup,2023-06-09
24,,,1,30000,30000,264026922,ARCHIVE,CANCELLED,17186215_PP1,,DELIVERY_PICKUP,1686379882728,False,,,,0,0,,Pickup,2023-06-10
27,,,1,13999,13999,264063271,ARCHIVE,COMPLETED,17186215_PP1,,DELIVERY_PICKUP,1686389518522,False,,,,0,0,,Pickup,2023-06-10
29,,,1,13999,13999,264125461,ARCHIVE,COMPLETED,17186215_PP1,,DELIVERY_LOCAL,1686412000141,False,,,,0,0,Астана,Pickup,2023-06-10
30,,,1,12999,12999,264594002,ARCHIVE,COMPLETED,17186215_PP1,,DELIVERY_LOCAL,1686640140590,False,,,,0,0,Астана,Pickup,2023-06-13
31,,,1,15999,15999,264705549,ARCHIVE,CANCELLED,17186215_PP1,,DELIVERY_LOCAL,1686677435731,False,,,,0,0,Астана,Pickup,2023-06-13
32,,,1,32000,32000,264913726,ARCHIVE,CANCELLED,17186215_PP1,,DELIVERY_LOCAL,1686770178240,False,,,,0,0,Астана,Pickup,2023-06-14
33,,,1,17589,17589,267587074,ARCHIVE,CANCELLED,17186215_PP1,,DELIVERY_LOCAL,1688063978280,False,,,,0,0,Астана,Pickup,2023-06-29
34,,,1,10869,10869,268124103,ARCHIVE,COMPLETED,17186215_PP1,,DELIVERY_LOCAL,1688319446913,False,,,,0,0,Астана,Pickup,2023-07-02
39,,,1,19000,19000,269651503,ARCHIVE,CANCELLED,17186215_PP1,,DELIVERY_LOCAL,1689001650155,False,,,,0,0,Астана,Pickup,2023-07-10
38,,,1,12289,12289,269700461,ARCHIVE,COMPLETED,17186215_PP1,,DELIVERY_LOCAL,1689045095171,False,,,,0,0,Астана,Pickup,2023-07-10
41,,,1,12289,12289,269657410,ARCHIVE,RETURNED,17186215_PP1,,DELIVERY_LOCAL,1689004437602,False,,,,0,0,Астана,Pickup,2023-07-10
35,,,1,12000,12000,269586439,ARCHIVE,COMPLETED,17186215_PP1,,DELIVERY_LOCAL,1688979256722,False,,,,0,0,Астана,Pickup,2023-07-10
36,,,1,13489,13489,269732664,ARCHIVE,COMPLETED,17186215_PP1,,DELIVERY_LOCAL,1689056131338,False,,,,0,0,Астана,Pickup,2023-07-11
40,,,1,12999,12999,269875677,ARCHIVE,COMPLETED,17186215_PP1,,DELIVERY_LOCAL,1689106066594,False,,,,0,0,Астана,Pickup,2023-07-11
42,,,1,12999,12999,269877067,ARCHIVE,COMPLETED,17186215_PP1,,DELIVERY_LOCAL,1689104977344,False,,,,0,0,Астана,Pickup,2023-07-11
37,,,1,12489,12489,269756757,ARCHIVE,COMPLETED,17186215_PP1,,DELIVERY_LOCAL,1689062928611,False,,,,0,0,Астана,Pickup,2023-07-11
43,,,1,13489,13489,269961985,ARCHIVE,CANCELLED,17186215_PP1,,DELIVERY_LOCAL,1689151785516,False,,,,0,0,Астана,Pickup,2023-07-12
44,,,1,5999,5999,273173005,ARCHIVE,CANCELLED,17186215_PP1,,DELIVERY_LOCAL,1689864145690,False,,,,0,0,Астана,Pickup,2023-07-20
45,,,1,7086,7086,274194217,ARCHIVE,COMPLETED,17186215_PP1,,DELIVERY_LOCAL,1690381423572,False,,,,0,0,Астана,Pickup,2023-07-26
46,,,1,6900,6900,274092154,ARCHIVE,COMPLETED,17186215_PP1,Астана,DELIVERY_REGIONAL_TODOOR,1690350412372,True,1690449553000.0,False,Zammler,783,0,Караганда,Zammler,2023-07-26
49,,,1,6189,6189,279232058,ARCHIVE,COMPLETED,17186215_PP1,Астана,DELIVERY_REGIONAL_TODOOR,1692634267937,True,1692765597000.0,False,Zammler,783,0,Талдыкорган,Zammler,2023-08-21
